Sent Digits,Encoded Words,Received Loss Errors
"(1, 2)",HV0,"['000', '0V0', 'H00']"
"(2, 1)",V0H,"['000', '00H', 'V00']"
"(1, 2, 4)",HH0V000,"['0000000', '000V000', '0H00000', '0H0V000', 'H000000', 'H00V000', 'HH00000']"
"(1, 4, 2)",HV000V0,"['0000000', '00000V0', '0V00000', '0V000V0', 'H000000', 'H0000V0', 'HV00000']"
"(2, 1, 4)",V0HV000,"['0000000', '000V000', '00H0000', '00HV000', 'V000000', 'V00V000', 'V0H0000']"
"(2, 4, 1)",H0V000H,"['0000000', '000000H', '00V0000', '00V000H', 'H000000', 'H00000H', 'H0V0000']"
"(4, 1, 2)",V000HV0,"['0000000', '00000V0', '0000H00', '0000HV0', 'V000000', 'V0000V0', 'V000H00']"
"(4, 2, 1)",V000V0H,"['0000000', '000000H', '0000V00', '0000V0H', 'V000000', 'V00000H', 'V000V00']"
"(1, 2, 4, 7)",HH0H000V000000,"['00000000000000', '0000000V000000', '000H0000000000', '000H000V000000', '0H000000000000', '0H00000V000000', '0H0H0000000000', '0H0H000V000000', 'H0000000000000', 'H000000V000000', 'H00H0000000000', 'H00H000V000000', 'HH000000000000', 'HH00000V000000', 'HH0H0000000000']"
"(1, 2, 7, 4)",HH0V000000V000,"['00000000000000', '0000000000V000', '000V0000000000', '000V000000V000', '0H000000000000', '0H00000000V000', '0H0V0000000000', '0H0V000000V000', 'H0000000000000', 'H000000000V000', 'H00V0000000000', 'H00V000000V000', 'HH000000000000', 'HH00000000V000', 'HH0V0000000000']"
"(1, 4, 2, 7)",HV000H0V000000,"['00000000000000', '0000000V000000', '00000H00000000', '00000H0V000000', '0V000000000000', '0V00000V000000', '0V000H00000000', '0V000H0V000000', 'H0000000000000', 'H000000V000000', 'H0000H00000000', 'H0000H0V000000', 'HV000000000000', 'HV00000V000000', 'HV000H00000000']"
"(1, 4, 7, 2)",HH000V000000V0,"['00000000000000', '000000000000V0', '00000V00000000', '00000V000000V0', '0H000000000000', '0H0000000000V0', '0H000V00000000', '0H000V000000V0', 'H0000000000000', 'H00000000000V0', 'H0000V00000000', 'H0000V000000V0', 'HH000000000000', 'HH0000000000V0', 'HH000V00000000']"
"(1, 7, 2, 4)",HV000000H0V000,"['00000000000000', '0000000000V000', '00000000H00000', '00000000H0V000', '0V000000000000', '0V00000000V000', '0V000000H00000', '0V000000H0V000', 'H0000000000000', 'H000000000V000', 'H0000000H00000', 'H0000000H0V000', 'HV000000000000', 'HV00000000V000', 'HV000000H00000']"
"(1, 7, 4, 2)",HV000000V000V0,"['00000000000000', '000000000000V0', '00000000V00000', '00000000V000V0', '0V000000000000', '0V0000000000V0', '0V000000V00000', '0V000000V000V0', 'H0000000000000', 'H00000000000V0', 'H0000000V00000', 'H0000000V000V0', 'HV000000000000', 'HV0000000000V0', 'HV000000V00000']"
"(2, 1, 4, 7)",V0HH000V000000,"['00000000000000', '0000000V000000', '000H0000000000', '000H000V000000', '00H00000000000', '00H0000V000000', '00HH0000000000', '00HH000V000000', 'V0000000000000', 'V000000V000000', 'V00H0000000000', 'V00H000V000000', 'V0H00000000000', 'V0H0000V000000', 'V0HH0000000000']"
"(2, 1, 7, 4)",V0HV000000V000,"['00000000000000', '0000000000V000', '000V0000000000', '000V000000V000', '00H00000000000', '00H0000000V000', '00HV0000000000', '00HV000000V000', 'V0000000000000', 'V000000000V000', 'V00V0000000000', 'V00V000000V000', 'V0H00000000000', 'V0H0000000V000', 'V0HV0000000000']"
"(2, 4, 1, 7)",H0V000HV000000,"['00000000000000', '0000000V000000', '000000H0000000', '000000HV000000', '00V00000000000', '00V0000V000000', '00V000H0000000', '00V000HV000000', 'H0000000000000', 'H000000V000000', 'H00000H0000000', 'H00000HV000000', 'H0V00000000000', 'H0V0000V000000', 'H0V000H0000000']"
"(2, 4, 7, 1)",H0H000V000000H,"['00000000000000', '0000000000000H', '000000V0000000', '000000V000000H', '00H00000000000', '00H0000000000H', '00H000V0000000', '00H000V000000H', 'H0000000000000', 'H000000000000H', 'H00000V0000000', 'H00000V000000H', 'H0H00000000000', 'H0H0000000000H', 'H0H000V0000000']"
"(2, 7, 1, 4)",H0V000000HV000,"['00000000000000', '0000000000V000', '000000000H0000', '000000000HV000', '00V00000000000', '00V0000000V000', '00V000000H0000', '00V000000HV000', 'H0000000000000', 'H000000000V000', 'H00000000H0000', 'H00000000HV000', 'H0V00000000000', 'H0V0000000V000', 'H0V000000H0000']"
"(2, 7, 4, 1)",H0V000000V000H,"['00000000000000', '0000000000000H', '000000000V0000', '000000000V000H', '00V00000000000', '00V0000000000H', '00V000000V0000', '00V000000V000H', 'H0000000000000', 'H000000000000H', 'H00000000V0000', 'H00000000V000H', 'H0V00000000000', 'H0V0000000000H', 'H0V000000V0000']"
"(4, 1, 2, 7)",V000HH0V000000,"['00000000000000', '0000000V000000', '00000H00000000', '00000H0V000000', '0000H000000000', '0000H00V000000', '0000HH00000000', '0000HH0V000000', 'V0000000000000', 'V000000V000000', 'V0000H00000000', 'V0000H0V000000', 'V000H000000000', 'V000H00V000000', 'V000HH00000000']"
"(4, 1, 7, 2)",V000HV000000V0,"['00000000000000', '000000000000V0', '00000V00000000', '00000V000000V0', '0000H000000000', '0000H0000000V0', '0000HV00000000', '0000HV000000V0', 'V0000000000000', 'V00000000000V0', 'V0000V00000000', 'V0000V000000V0', 'V000H000000000', 'V000H0000000V0', 'V000HV00000000']"
